# Radius () 	 Magnitude Contrast 	 Error
 0.099 	  2.121 	  0.000 
 0.198 	  2.727 	  0.175 
 0.297 	  2.828 	  0.396 
 0.396 	  3.636 	  1.031 
 0.495 	  5.253 	  1.028 
 0.594 	  6.465 	  1.075 
 0.693 	  5.859 	  0.985 
 0.792 	  6.162 	  1.110 
 0.891 	  6.162 	  1.561 
 0.990 	  6.263 	  1.606 
 1.089 	  6.465 	  1.765 
 1.188 	  6.061 	  2.594 
 1.287 	  4.949 	  2.301 
 1.386 	  6.768 	  2.508 
 1.485 	  6.919 	  2.412 
 1.584 	  7.071 	  2.227 
 1.683 	  7.879 	  1.885 
 1.782 	  7.879 	  1.593 
 1.881 	  7.576 	  1.428 
 1.980 	  7.879 	  1.236 
 2.079 	  8.081 	  1.124 
 2.178 	  7.879 	  1.006 
 2.277 	  7.778 	  0.856 
 2.376 	  7.778 	  0.751 
 2.475 	  7.778 	  0.551 
 2.574 	  7.778 	  0.549 
 2.673 	  7.576 	  0.345 
 2.772 	  7.778 	  0.497 
 2.871 	  7.727 	  0.353 
 2.970 	  7.576 	  0.311 
 3.069 	  7.677 	  0.334 
 3.168 	  7.626 	  0.263 
 3.267 	  7.576 	  0.245 
 3.366 	  7.576 	  0.273 
 3.465 	  7.677 	  0.366 
 3.564 	  7.576 	  0.384 
 3.663 	  7.576 	  0.230 
 3.762 	  7.576 	  0.375 
 3.861 	  7.677 	  0.407 
 3.960 	  7.677 	  0.249 
 4.059 	  7.525 	  0.266 
 4.158 	  7.576 	  0.238 
 4.257 	  7.475 	  0.398 
 4.356 	  7.475 	  0.294 
 4.455 	  7.576 	  0.487 
 4.554 	  7.626 	  0.294 
 4.653 	  7.576 	  0.366 
 4.752 	  7.576 	  0.645 
 4.851 	  7.677 	  0.561 
 4.950 	  7.677 	  0.292 
 5.049 	  7.576 	  0.190 
 5.148 	  7.525 	  0.324 
 5.247 	  7.677 	  0.291 
 5.346 	  7.828 	  0.410 
 5.445 	  7.727 	  0.215 
 5.544 	  7.677 	  0.559 
 5.643 	  7.576 	  0.501 
 5.742 	  7.778 	  0.474 
 5.841 	  7.677 	  0.264 
 5.940 	  7.778 	  0.213 
 6.039 	  7.677 	  0.468 
 6.138 	  7.576 	  0.343 
 6.237 	  7.576 	  0.194 
 6.336 	  7.576 	  0.304 
 6.435 	  7.626 	  0.263 
 6.534 	  7.677 	  0.529 
 6.633 	  7.576 	  0.245 
 6.732 	  7.929 	  0.476 
 6.831 	  7.778 	  0.455 
 6.930 	  7.677 	  0.117 
