# Radius () 	 Magnitude Contrast 	 Error
 0.231 	  3.030 	  0.000 
 0.462 	  4.040 	  0.965 
 0.693 	  4.646 	  0.439 
 0.924 	  6.465 	  0.889 
 1.155 	  6.768 	  0.629 
 1.386 	  7.273 	  0.302 
 1.617 	  8.990 	  0.000 
 1.848 	  9.293 	  nan 
 2.079 	  8.131 	  1.165 
 2.310 	  6.313 	  1.172 
 2.541 	  6.818 	  1.230 
 2.772 	  7.071 	  1.286 
 3.003 	  9.141 	  0.891 
 3.234 	  8.889 	  0.851 
 3.465 	  8.687 	  0.431 
 3.696 	  9.192 	  0.570 
 3.927 	  9.293 	  0.397 
 4.158 	  9.394 	  0.336 
 4.389 	  9.293 	  0.326 
 4.620 	  9.242 	  0.351 
 4.851 	  9.293 	  0.311 
 5.082 	  9.293 	  0.294 
 5.313 	  9.293 	  0.311 
 5.544 	  9.293 	  0.236 
 5.775 	  9.091 	  0.279 
 6.006 	  9.091 	  0.158 
 6.237 	  9.091 	  0.216 
 6.468 	  9.192 	  0.356 
 6.699 	  8.990 	  0.297 
 6.930 	  8.687 	  0.154 
