# Radius () 	 Magnitude Contrast 	 Error
 0.330 	  3.535 	  0.000 
 0.660 	  3.737 	  0.055 
 0.990 	  4.646 	  0.800 
 1.320 	  6.061 	  0.807 
 1.650 	  6.364 	  0.515 
 1.980 	  6.465 	  0.371 
 2.310 	  6.566 	  0.276 
 2.640 	  6.667 	  0.232 
 2.970 	  6.768 	  0.189 
 3.300 	  6.869 	  0.126 
 3.630 	  6.869 	  0.123 
 3.960 	  6.818 	  0.126 
 4.290 	  6.869 	  0.197 
 4.620 	  6.970 	  0.197 
 4.950 	  7.172 	  0.367 
 5.280 	  7.273 	  0.600 
 5.610 	  7.273 	  0.873 
 5.940 	  7.424 	  1.149 
 6.270 	  7.828 	  0.901 
 6.600 	  8.081 	  0.986 
 6.930 	  9.091 	  0.985 
