frame	OBJECT	ITIME_s	FILT1NAM	FILT2NAM	HA	RA	DEC	LOOPSTAT	LASONSKY	LAMPS_ON
s0107.fits	HD 183362	1.5	Ks	Open	00:27:09.64	19:27:36.41	37:56:27.7	Open	off	
s0108.fits	HD 183362	6.0	Ks	Open	00:27:33.13	19:27:36.41	37:56:27.7	Open	off	
s0109.fits	HD 183362	6.0	Ks	Open	00:28:13.55	19:27:36.40	37:56:27.7	Open	off	
s0110.fits	HD 183362	1.5	Ks	Open	00:30:57.09	19:27:36.42	37:56:27.8	Closed	off	
s0111.fits	HD 183362	1.5	Ks	Open	00:31:30.06	19:27:36.42	37:56:28.1	Closed	off	
s0112.fits	HD 183362	1.5	Ks	Open	00:32:08.55	19:27:36.40	37:56:27.9	Closed	off	
s0113.fits	HD 183362	1.5	Ks	Open	00:32:34.90	19:27:36.40	37:56:28.0	Closed	off	
s0114.fits	HD 183362	1.5	Ks	Open	00:32:56.50	19:27:36.41	37:56:27.9	Closed	off	
s0115.fits	HD 183362	1.5	Ks	Open	00:33:06.88	19:27:36.42	37:56:27.8	Closed	off	
s0116.fits	HD 183362	1.5	Ks	Open	00:33:16.30	19:27:36.40	37:56:27.8	Closed	off	
s0117.fits	HD 183362	1.5	Ks	Open	00:33:26.63	19:27:36.41	37:56:27.7	Closed	off	
s0118.fits	HD 183362	1.5	Ks	Open	00:33:44.52	19:27:36.37	37:56:27.8	Closed	off	
s0119.fits	HD 183362	1.5	Ks	Open	00:33:56.71	19:27:36.40	37:56:27.7	Closed	off	
s0120.fits	HD 183362	1.5	Ks	Open	00:34:05.16	19:27:36.41	37:56:27.7	Closed	off	
s0121.fits	HD 183362	1.5	Ks	Open	00:34:17.42	19:27:36.37	37:56:27.8	Closed	off	
s0122.fits	HD 183362	1.5	Ks	Open	00:34:30.54	19:27:36.41	37:56:27.7	Closed	off	
s0123.fits	HD 183362	1.5	Ks	Open	00:34:39.93	19:27:36.41	37:56:27.7	Closed	off	
s0124.fits	HD 183362	1.5	Ks	Open	00:34:52.15	19:27:36.41	37:56:27.7	Closed	off	
s0125.fits	HD 183362	1.5	Ks	Open	00:35:14.71	19:27:36.41	37:56:27.8	Closed	off	
s0126.fits	HD 183362	1.5	Ks	Open	00:35:36.33	19:27:36.40	37:56:27.7	Closed	off	
s0127.fits	HD 183362	1.5	Ks	Open	00:35:42.94	19:27:36.38	37:56:27.8	Closed	off	
s0128.fits	HD 183362	1.5	Ks	Open	00:35:57.00	19:27:36.41	37:56:27.8	Closed	off	
s0129.fits	HD 183362	1.5	Ks	Open	00:36:09.22	19:27:36.41	37:56:28.0	Closed	off	
s0130.fits	HD 183362	1.5	Ks	Open	00:36:22.40	19:27:36.39	37:56:27.9	Closed	off	
s0131.fits	HD 183362	1.5	Ks	Open	00:36:32.72	19:27:36.40	37:56:27.8	Closed	off	
s0132.fits	HD 183362	1.5	Ks	Open	00:36:48.70	19:27:36.40	37:56:28.1	Closed	off	
s0133.fits	HD 183362	1.5	Ks	Open	00:36:59.02	19:27:36.42	37:56:28.1	Closed	off	
s0134.fits	HD 183362	1.5	Ks	Open	00:37:10.32	19:27:36.42	37:56:27.8	Closed	off	
s0135.fits	HD 183362	1.5	Ks	Open	00:37:24.42	19:27:36.41	37:56:27.8	Closed	off	
s0136.fits	HD 183362	1.5	Ks	Open	00:37:46.96	19:27:36.37	37:56:28.1	Closed	off	
s0137.fits	HD 183362	1.5	Ks	Open	00:39:15.40	19:27:36.46	37:56:28.0	Closed	off	
s0138.fits	HD 183362	1.5	Ks	Open	00:39:39.05	19:27:36.41	37:56:27.8	Closed	off	
s0139.fits	HD 183362	1.5	Ks	Open	00:39:42.85	19:27:36.38	37:56:27.8	Closed	off	
s0140.fits	HD 183362	1.5	Ks	Open	00:39:48.49	19:27:36.37	37:56:27.8	Closed	off	
s0141.fits	HD 183362	1.5	Ks	Open	00:39:58.80	19:27:36.40	37:56:27.7	Closed	off	
s0142.fits	HD 183362	1.5	Ks	Open	00:40:04.43	19:27:36.41	37:56:27.7	Closed	off	
s0143.fits	HD 183362	1.5	Ks	Open	00:40:10.06	19:27:36.41	37:56:27.7	Closed	off	
s0144.fits	HD 183362	1.5	Ks	Open	00:40:24.19	19:27:36.38	37:56:27.7	Closed	off	
s0145.fits	HD 183362	1.5	Ks	Open	00:40:28.89	19:27:36.42	37:56:28.3	Closed	off	
s0146.fits	HD 183362	1.5	Ks	Open	00:40:42.06	19:27:36.40	37:56:28.2	Closed	off	
s0147.fits	HD 183362	1.5	Ks	Open	00:41:19.68	19:27:36.42	37:56:28.3	Closed	off	
s0148.fits	HD 183362	1.5	Ks	Open	00:41:46.02	19:27:36.36	37:56:27.9	Closed	off	
s0149.fits	HD 183362	1.5	Ks	Open	00:41:59.12	19:27:36.41	37:56:27.8	Closed	off	
s0150.fits	HD 183362	1.5	Ks	Open	00:42:03.86	19:27:36.42	37:56:28.0	Closed	off	
s0151.fits	HD 183362	1.5	Ks	Open	00:42:11.38	19:27:36.41	37:56:27.8	Closed	off	
s0152.fits	HD 183362	1.5	Ks	Open	00:42:19.87	19:27:36.38	37:56:27.5	Closed	off	
s0153.fits	HD 183362	1.5	Ks	Open	00:43:26.55	19:27:36.41	37:56:27.7	Closed	off	
s0154.fits	HD 183362	1.5	Ks	Open	00:43:38.80	19:27:36.41	37:56:27.8	Closed	off	
s0155.fits	HD 183362	1.5	Ks	Open	00:44:00.36	19:27:36.41	37:56:28.2	Closed	off	
s0156.fits	HD 183362	1.5	Ks	Open	00:44:06.00	19:27:36.41	37:56:28.0	Closed	off	
s0157.fits	HD 183362	1.5	Ks	Open	00:45:48.42	19:27:36.38	37:56:28.2	Closed	off	
s0158.fits	HD 183362	1.5	Ks	Open	00:45:59.66	19:27:36.41	37:56:28.4	Closed	off	
s0159.fits	HD 183362	1.5	Ks	Open	00:46:05.36	19:27:36.41	37:56:27.9	Closed	off	
s0160.fits	HD 183362	1.5	Ks	Open	00:46:37.33	19:27:36.41	37:56:27.8	Closed	off	
s0161.fits	HD 183362	1.5	Ks	Open	00:46:53.29	19:27:36.41	37:56:28.1	Closed	off	
s0162.fits	HD 183362	1.5	Ks	Open	00:47:07.38	19:27:36.41	37:56:28.1	Closed	off	
s0163.fits	HD 183362	1.5	Ks	Open	00:47:15.87	19:27:36.42	37:56:27.8	Closed	off	
s0164.fits	HD 183362	1.5	Ks	Open	00:47:29.03	19:27:36.42	37:56:27.8	Closed	off	
s0165.fits	HD 183362	1.5	Ks	Open	00:47:33.77	19:27:36.41	37:56:28.4	Closed	off	
s0166.fits	HD 183362	1.5	Ks	Open	00:47:53.47	19:27:36.40	37:56:27.8	Closed	off	
s0167.fits	HD 183362	1.5	Ks	Open	00:49:42.57	19:27:36.38	37:56:27.8	Open	off	
s0168.fits	TIC_352409590	20.0	Ks	Open	-4:35:13.02	01:02:27.27	41:01:45.1	Closed	off	
s0169.fits	TIC_352409590	120.0	Ks	Open	-4:34:12.86	01:02:27.24	41:01:45.2	Closed	off	
s0170.fits	TIC_352409590	120.0	Ks	Open	-4:29:33.00	01:02:27.28	41:01:45.3	Closed	off	
s0171.fits	TIC_352409590	120.0	Ks	Open	-4:27:03.56	01:02:27.28	41:01:45.3	Closed	off	
s0172.fits	TIC_352409590	120.0	Ks	Open	-4:24:33.41	01:02:27.27	41:01:45.2	Closed	off	
s0173.fits	TIC_352409590	120.0	Ks	Open	-4:21:41.88	01:02:27.68	41:01:49.9	Closed	off	
s0174.fits	TIC_352409590	120.0	Ks	Open	-4:19:11.61	01:02:27.69	41:01:50.6	Closed	off	
s0175.fits	TIC_352409590	120.0	Ks	Open	-4:16:42.25	01:02:27.72	41:01:50.3	Closed	off	
s0176.fits	TIC_352409590	120.0	Ks	Open	-4:13:42.75	01:02:27.69	41:01:39.8	Closed	off	
s0177.fits	TIC_352409590	120.0	Ks	Open	-4:11:13.37	01:02:27.71	41:01:40.3	Closed	off	
s0178.fits	TIC_352409590	120.0	Ks	Open	-4:08:43.11	01:02:27.71	41:01:40.2	Closed	off	
s0179.fits	TIC_352409590	120.0	Ks	Open	-4:05:57.81	01:02:26.80	41:01:39.4	Closed	off	
s0180.fits	TIC_352409590	120.0	Ks	Open	-4:03:26.64	01:02:26.83	41:01:40.2	Closed	off	
s0181.fits	TIC_352409590	120.0	Ks	Open	-4:00:56.25	01:02:26.84	41:01:40.3	Closed	off	
s0182.fits	TIC_352409590	120.0	Ks	Open	-3:57:58.70	01:02:26.79	41:01:49.9	Closed	off	
s0183.fits	TIC_352409590	120.0	Ks	Open	-3:55:29.42	01:02:26.83	41:01:50.2	Closed	off	
s0184.fits	TIC_352409590	120.0	Ks	Open	-3:52:58.11	01:02:26.83	41:01:50.2	Closed	off	
s0185.fits	TIC_352409590	120.0	J	Open	-3:49:19.61	01:02:27.26	41:01:45.2	Closed	off	
s0186.fits	TIC_352409590	240.0	J	Open	-3:46:38.05	01:02:27.27	41:01:45.3	Closed	off	
s0187.fits	TIC_352409590	240.0	J	Open	-3:41:19.04	01:02:27.69	41:01:49.9	Closed	off	
s0188.fits	TIC_352409590	240.0	J	Open	-3:36:21.16	01:02:27.69	41:01:40.2	Closed	off	
s0189.fits	TIC_352409590	240.0	J	Open	-3:31:37.38	01:02:26.83	41:01:40.2	Closed	off	
s0190.fits	TIC_352409590	240.0	J	Open	-3:26:38.62	01:02:26.84	41:01:49.8	Closed	off	
s0191.fits	TOI-6158	120.0	Ks	Open	-0:28:32.36	22:15:35.02	16:17:07.8	Closed	off	
s0192.fits	TOI-6158	240.0	Ks	Open	-0:25:48.88	22:15:35.02	16:17:07.8	Closed	off	
s0193.fits	TOI-6158	240.0	Ks	Open	-0:20:37.80	22:15:35.01	16:17:07.7	Closed	off	
s0194.fits	TOI-6158	240.0	Ks	Open	-0:16:08.02	22:15:34.97	16:17:07.9	Closed	off	
s0195.fits	TOI-6158	240.0	Ks	Open	-0:11:17.01	22:15:35.36	16:17:12.9	Closed	off	
s0196.fits	TOI-6158	240.0	Ks	Open	-0:06:48.22	22:15:35.36	16:17:13.2	Closed	off	
s0197.fits	TOI-6158	240.0	Ks	Open	-0:00:40.75	22:15:35.36	16:17:03.1	Closed	off	
s0198.fits	TOI-6158	240.0	Ks	Open	00:03:50.03	22:15:35.32	16:17:02.9	Closed	off	
s0199.fits	TOI-6158	240.0	Ks	Open	00:08:34.54	22:15:34.67	16:17:02.8	Closed	off	
s0200.fits	TOI-6158	240.0	Ks	Open	00:13:04.27	22:15:34.66	16:17:02.8	Closed	off	
s0201.fits	TOI-6158	240.0	Ks	Open	00:18:02.18	22:15:34.66	16:17:12.8	Closed	off	
s0202.fits	TOI-6158	240.0	Ks	Open	00:22:31.92	22:15:34.66	16:17:12.7	Closed	off	
s0203.fits	TIC_388814426	120.0	Ks	Open	-2:26:15.64	01:13:27.00	00:01:07.9	Closed	off	
s0204.fits	TIC_388814426	90.0	Ks	Open	-2:23:25.57	01:13:27.01	00:01:08.3	Closed	off	
s0205.fits	TIC_388814426	90.0	Ks	Open	-2:21:06.43	01:13:26.99	00:01:08.2	Closed	off	
s0206.fits	TIC_388814426	90.0	Ks	Open	-2:18:57.76	01:13:27.03	00:01:07.8	Closed	off	
s0207.fits	TIC_388814426	90.0	Ks	Open	-2:16:57.43	01:13:27.01	00:01:07.9	Closed	off	
s0208.fits	TIC_388814426	90.0	Ks	Open	-2:14:59.00	01:13:27.01	00:01:08.2	Closed	off	
s0209.fits	TIC_388814426	90.0	Ks	Open	-2:12:58.73	01:13:27.01	00:01:08.1	Closed	off	
s0210.fits	TIC_388814426	90.0	Ks	Open	-2:10:38.14	01:13:27.36	00:01:13.5	Closed	off	
s0211.fits	TIC_388814426	90.0	Ks	Open	-2:08:38.72	01:13:27.35	00:01:13.2	Closed	off	
s0212.fits	TIC_388814426	90.0	Ks	Open	-2:06:40.32	01:13:27.35	00:01:13.2	Closed	off	
s0213.fits	TIC_388814426	90.0	Ks	Open	-2:04:40.03	01:13:27.34	00:01:13.1	Closed	off	
s0214.fits	TIC_388814426	90.0	Ks	Open	-2:02:11.51	01:13:27.30	00:01:03.1	Closed	off	
s0215.fits	TIC_388814426	90.0	Ks	Open	-2:00:13.02	01:13:27.31	00:01:03.2	Closed	off	
s0216.fits	TIC_388814426	90.0	Ks	Open	-1:58:13.68	01:13:27.32	00:01:03.2	Closed	off	
s0217.fits	TIC_388814426	90.0	Ks	Open	-1:56:13.36	01:13:27.30	00:01:03.2	Closed	off	
s0218.fits	TIC_388814426	90.0	Ks	Open	-1:54:00.15	01:13:26.67	00:01:03.2	Closed	off	
s0219.fits	TIC_388814426	90.0	Ks	Open	-1:51:59.88	01:13:26.67	00:01:03.3	Closed	off	
s0220.fits	TIC_388814426	90.0	Ks	Open	-1:50:01.46	01:13:26.66	00:01:03.2	Closed	off	
s0221.fits	TIC_388814426	90.0	Ks	Open	-1:48:01.15	01:13:26.66	00:01:03.2	Closed	off	
s0222.fits	TIC_388814426	90.0	Ks	Open	-1:45:03.49	01:13:26.66	00:01:12.8	Closed	off	
s0223.fits	TIC_388814426	90.0	Ks	Open	-1:43:03.30	01:13:26.67	00:01:13.2	Closed	off	
s0224.fits	TIC_388814426	90.0	Ks	Open	-1:41:02.96	01:13:26.68	00:01:13.2	Closed	off	
s0225.fits	TIC_388814426	90.0	Ks	Open	-1:39:04.48	01:13:26.67	00:01:12.9	Closed	off	
s0226.fits	TIC_281571049	30.0	Ks	Open	-4:58:39.22	04:49:56.01	71:09:47.3	Closed	off	
s0227.fits	TIC_281571049	60.0	Ks	Open	-4:57:25.77	04:49:56.01	71:09:46.8	Closed	off	
s0228.fits	TIC_281571049	60.0	Ks	Open	-4:55:47.27	04:49:56.01	71:09:47.3	Closed	off	
s0229.fits	TIC_281571049	60.0	Ks	Open	-4:54:01.98	04:49:55.99	71:09:47.3	Closed	off	
s0230.fits	TIC_281571049	60.0	Ks	Open	-4:52:30.13	04:49:56.00	71:09:47.2	Closed	off	
s0231.fits	TIC_281571049	60.0	Ks	Open	-4:50:59.83	04:49:55.96	71:09:47.2	Closed	off	
s0232.fits	TIC_281571049	60.0	Ks	Open	-4:49:29.74	04:49:56.02	71:09:46.6	Closed	off	
s0233.fits	TIC_281571049	60.0	Ks	Open	-4:47:59.69	04:49:56.00	71:09:47.4	Closed	off	
s0234.fits	TIC_281571049	60.0	Ks	Open	-4:46:29.44	04:49:56.00	71:09:47.5	Closed	off	
s0235.fits	TIC_281571049	60.0	Ks	Open	-4:44:36.02	04:49:57.07	71:09:52.7	Closed	off	
s0236.fits	TIC_281571049	60.0	Ks	Open	-4:43:05.83	04:49:57.01	71:09:52.3	Closed	off	
s0237.fits	TIC_281571049	60.0	Ks	Open	-4:41:35.73	04:49:57.05	71:09:52.3	Closed	off	
s0238.fits	TIC_281571049	60.0	Ks	Open	-4:40:05.54	04:49:57.05	71:09:51.7	Closed	off	
