night,target,tic_id,filter,frame_first,frame_last,exp_time_s,expose_per_posn,dither_posns,is_flat,notes,manual_veto
20241217,SkyFlat,,Ks,197,197,2.0,1.0,1.0,True,,False
20241217,SkyFlat,,Ks,198,198,10.0,1.0,1.0,True,,False
20241217,SkyFlat,,,199,208,,,,True,,False
20241217,TIC_352409590,352409590,Ks,247,247,30.0,1.0,1.0,False,~6k counts,False
20241217,TIC_352409590,352409590,Ks,248,248,60.0,1.0,1.0,False,,False
20241217,TIC_352409590,352409590,Ks,249,249,90.0,1.0,1.0,False,~8k counts,False
20241217,TIC_352409590,352409590,Ks,250,257,90.0,2.0,4.0,False,,False
20241217,TIC_257397333,257397333,Ks,258,258,60.0,1.0,1.0,False,Seeing looks awful; ~4k peak counts,False
20241217,TIC_257397333,257397333,Ks,259,259,120.0,1.0,1.0,False,,False
20241217,TIC_257397333,257397333,Ks,260,269,120.0,2.0,5.0,False,,False
20241217,TIC_35760711,35760711,Ks,270,270,120.0,1.0,1.0,False,~10K peak counts,False
20241217,TIC_35760711,35760711,Ks,271,280,120.0,2.0,5.0,False,,False
20241217,TIC_435903839,435903839,Ks,281,281,60.0,1.0,1.0,False,,False
20241217,TIC_435903839,435903839,Ks,282,282,120.0,1.0,1.0,False,,False
20241217,TIC_435903839,435903839,Ks,283,283,180.0,1.0,1.0,False,,False
20241217,TIC_435903839,435903839,Ks,284,291,180.0,2.0,4.0,False,,False
20241217,TIC_12632044,12632044,Ks,292,292,60.0,1.0,1.0,False,,False
20241217,TIC_12632044,12632044,Ks,293,293,180.0,1.0,1.0,False,,False
20241217,TIC_12632044,12632044,Ks,294,297,180.0,,,False,"Tried to do a script, but encountered multiple problems, mainly telescope drive control.  Aborted, these are all junk.",True
20241217,TIC_283866910,283866910,Ks,298,298,120.0,1.0,1.0,False,,False
20241217,TIC_283866910,283866910,Ks,299,308,120.0,2.0,5.0,False,304-307 overexposed,True
20241217,TIC_12632044,12632044,Ks,309,309,60.0,1.0,1.0,False,,False
20241217,TIC_12632044,12632044,Ks,310,319,120.0,2.0,5.0,False,,False
20241217,TIC_117880865,117880865,Ks,320,320,,1.0,1.0,False,,False
20241217,TIC_117880865,117880865,Ks,321,325,120.0,2.0,5.0,False,All junk--wind,True
20241217,TIC_77552918,77552918,Ks,326,326,60.0,1.0,1.0,False,Garbage; too much wind,False
20241217,TIC_364898,364898,Ks,327,327,60.0,1.0,1.0,False,,False
20241217,TIC_364898,364898,Ks,328,357,45.0,6.0,5.0,False,"Faint secondary about 15"" away? 332-333, 337, 340, 343-344, 352, 355 overexposed",True
20241217,TIC_364898,364898,J,358,358,45.0,1.0,1.0,False,,False
20241217,TIC_364898,364898,J,359,359,30.0,1.0,1.0,False,,False
20241217,TIC_364898,364898,J,360,399,30.0,8.0,5.0,False,"374, 385, 396 overexposed",True
20241217,TIC_60764070,60764070,Ks,400,400,60.0,1.0,1.0,False,,False
20241217,TIC_60764070,60764070,Ks,401,404,60.0,4.0,5.0,False,"Tried to run a script, but 403-404 wrecked by wind, aborting",False
20241217,TIC_172572159,172572159,Ks,405,405,60.0,1.0,1.0,False,,False
20241217,TIC_172572159,172572159,Ks,406,406,120.0,1.0,1.0,False,,False
20241217,TIC_172572159,172572159,Ks,407,407,120.0,1.0,1.0,False,,False
20241217,TIC_172572159,172572159,Ks,408,417,120.0,2.0,5.0,False,,False
20241217,TIC_172572159,172572159,J,418,418,60.0,1.0,1.0,False,,False
20241217,TIC_172572159,172572159,J,419,419,180.0,1.0,1.0,False,,False
20241217,TIC_172572159,172572159,J,420,424,180.0,1.0,5.0,False,,False
20241219,SkyFlat,,Ks,88,88,2.0,1.0,1.0,True,,False
20241219,SkyFlat,,Ks,89,89,15.0,1.0,1.0,True,,False
20241219,SkyFlat,,Ks,90,100,25.0,1.0,1.0,True,11k,False
20241219,SkyFlat,,J,101,101,30.0,1.0,1.0,True,30k,False
20241219,SkyFlat,,J,102,112,10.0,1.0,1.0,True,11k,False
20241219,TIC_148251101,148251101,Ks,163,163,10.0,1.0,1.0,False,"AO not perfect, reopen the loop",False
20241219,TIC_148251101,148251101,Ks,164,164,10.0,1.0,1.0,False,6k,False
20241219,TIC_148251101,148251101,Ks,165,166,20.0,1.0,1.0,False,13k-16k,False
20241219,TIC_148251101,148251101,Ks,167,168,15.0,1.0,1.0,False,12k,False
20241219,TIC_148251101,148251101,Ks,169,288,15.0,24.0,5.0,False,Seems like a small bump to the west; The bump looks less prominent at the second dithering position. The bump might be an AO artifact. ,False
20241219,TIC_148251101,148251101,J,289,289,15.0,1.0,1.0,False,Try a J and see. Not seeing a binary (4k counts),False
20241219,TIC_148251101,148251101,J,290,290,30.0,1.0,1.0,False,Still very round.,False
20241219,TIC_345778835,345778835,Ks,291,291,10.0,1.0,1.0,False,"looks ok, 2k",False
20241219,TIC_345778835,345778835,Ks,292,292,60.0,1.0,1.0,False,12k,False
20241219,TIC_345778835,345778835,Ks,293,322,60.0,6.0,5.0,False,"8k to start. Dropped to 6k, but still round. 303 bad, 316 15k,",True
20241219,TIC_151058955,151058955,Ks,323,323,60.0,1.0,1.0,False,25k,False
20241219,TIC_151058955,151058955,Ks,324,325,20.0,1.0,1.0,False,"8k,10k",False
